Hostname,Model,Serial Number
049BSE_Switch_7,CW_FAMILY$C3560$,FDO1137Z8P5
049BSE_Switch_8,CW_FAMILY$C3560$,FDO1222Y0A8
049BSE_Switch_6,CW_FAMILY$C3560$,CAT1026NKA5
049BSE_Switch_3,CW_FAMILY$C3560$,CAT0926N1LG
049BSE_Switch_2,CW_FAMILY$C3560$,CAT0925X12P
049BSE_Switch_9,CW_FAMILY$C3560$,CAT0926N1N9
049BSE_Switch_Training_Lab,CW_FAMILY$C3560$,FDO1519X019
049BSE_Switch_5.thyssenkrupp,CW_FAMILY$C3560$,FDO1519X01E
049BSE_Switch_10.thyssenkrupp,CW_FAMILY$C3560$,FDO1452X03P
049BSE_Switch_4.thyssenkrupp,CW_FAMILY$C3560$,FDO1519X01L
035SEA_Router_1.yourdomain.com,CW_FAMILY$C2900$,FTX1649AM7E
049BSE_Router_A.thyssenkrupp.com,CW_FAMILY$C2800NM$,FHK0847F02H
049BSE_4507_A.thyssenkrupp.com,CW_FAMILY$cat4500e$,FOX1526H05K
049BSE_4507_B.thyssenkrupp.com,CW_FAMILY$cat4500e$,FOX1525G73M
035SEA_Switch_3,CW_FAMILY$C2960S$,FOC1636Y2G7
056SFE_Switch_3.thyssenkrupp.com,CW_FAMILY$C2960X$,FCW1945A019
035SEA_Switch_2,CW_FAMILY$C2960S$,FOC1636Y2GB
Thyssen_4948_B_Rack3,CW_FAMILY$cat4500$,FOX1218GEAD
056SFE_Router_1.thyssenkrupp.com,CW_FAMILY$C2900$,FTX1718AL70
056SFE_Switch_2.thyssenkrupp.com,CW_FAMILY$C2960S$,FOC1720Z4W5
Thyssen_4948b_MDF,CW_FAMILY$cat4500$,FOX1218GEAZ
4506_IDF_2ndFloor_1,CW_FAMILY$cat4500$,FOX073501FS
4507_IDF_2ndFloor_1,CW_FAMILY$cat4000$,FOX090502M2
Thyssen_6509a_MDF.thyssenna.com,CW_FAMILY$s72033_rp$,SMG1039NZQ6
Thyssen_SFVG224,CW_FAMILY$vg224$,FHK0811U00H
056SFE_Switch_1.thyssenkrupp.com,CW_FAMILY$C2960S$,FOC1737Y7WH
Thyssen_6509b_MDF.thyssenna.com,CW_FAMILY$s72033_rp$,SMG1042N1S7
VG200DSP,CW_FAMILY$VG200$,JAB05450EW7 (0)
Thyssen_SFVG224-02,CW_FAMILY$vg224$,FHK0848F0YD
235AUB_Switch_3.thyssenkrupp,CW_FAMILY$C2960S$,FOC1751Z3H6
235AUB_Switch_2.thyssenkrupp,CW_FAMILY$C2960S$,FOC1802Z3MT
100FUL_SW2,CW_FAMILY$C3750$,FOC1616V09L
Thyssen_IDF_1stFloor_1.thyssenkrupp.com,CW_FAMILY$C2960X$,FOC2012S75R
100FUL_SW1,CW_FAMILY$C3750$,FOC1616V07G
235AUB_Switch_1.thyssenkrupp,CW_FAMILY$C2960S$,FOC1802Z3NC
241HSU_Switch_5.thyssenkrupp.com,CW_FAMILY$C3560$,FDO1403Z1SR
235AUB_Router_1.thyssenkrupp,CW_FAMILY$C2900$,FTX1807AHRC
241HSU_Switch_4.thyssenkrupp.com,CW_FAMILY$C3560$,FDO1203Z3L1
241HSU_Router_1.thyssenkrupp,CW_FAMILY$C2900$,FTX1833AKP7
241HSU_Switch_3.thyssenkrupp,CW_FAMILY$C2960S$,FOC1751W0HC
249TTA_Switch_8.thssenkrupp.com,CW_FAMILY$CAT3K_CAA$,FOC1719V136
241HSU_Switch_2.thyssenkrupp,CW_FAMILY$C2960S$,FOC1751W0DD
241HSU_Switch_1.thyssenkrupp.com,CW_FAMILY$C2960S$,FOC1751W0HT
249TTA_Switch_7.thyssenkrupp.com,CW_FAMILY$CAT3K_CAA$,FOC1715V0KU
249TTA_Switch_4,CW_FAMILY$C3560$,CAT1107ZLFR
249TTA_Switch_3,CW_FAMILY$C3560$,FDO1204Y2P5
249TTA_Switch_2,CW_FAMILY$C3560$,CAT1107RJ47
249TTA_Switch_1.thyssenkrupp.com,CW_FAMILY$C3560$,CAT1108ZL96
250HTO_Switch_4,CW_FAMILY$C3560$,CAT1003R4LX
249TTA_Switch_6.thssenkrupp.com,CW_FAMILY$C2960S$,FOC1734W1PA
249TTA_Router_1.thyssenkrupp.com,CW_FAMILY$C2900$,FJC1951A1FA
250HTO_Router_1.thyssenkrupp,CW_FAMILY$C2800NM$,FTX0950C698
MA-252PKC-AS05.thyssenkrupp,CW_FAMILY$C3560$,FDO1540Y0L7
MA-252PKC-AS08.thyssenkrupp,CW_FAMILY$C2960X$,FOC1938S2T6
MA-252PKC-AS07.thyssenkrupp,CW_FAMILY$C2960X$,FCW1930B1X8
MA-252PKC-AS03.thyssenkrupp,CW_FAMILY$C3560$,FDO1550X1QS
MA-252PKC-AS02.thyssenkrupp,CW_FAMILY$C3560$,FDO1550X1Q2
MA-252PKC-AS06.thyssenkrupp,CW_FAMILY$C2960S$,FOC1734W1MJ
MA-252PKC-RT01.thyssenkrupp,CW_FAMILY$C2900$,FTX160183B2
MA-252PKC-AS04.thyssenkrupp,CW_FAMILY$C2960X$,FCW2013B1VT
249TTA_Switch_5.thyssenkrupp,CW_FAMILY$C3750E$,FDO1648H29J
MA-252PKC-DS01,CW_FAMILY$C3750$,FOT1520X02R
035SEA_Switch_1,CW_FAMILY$C3750E$,FDO1648X2FZ
ThyssenTKX_ASR1.thyssenkrupp.com,CW_FAMILY$PPC_LINUX_IOSD$,FOX1511GC4K
ThyssenTKX_ASR2.tkmna.com,CW_FAMILY$PPC_LINUX_IOSD$,FOX1511GC4F
TKISANXRouter.thyssenkrupp.com,CW_FAMILY$C181X$,FTX1217W00E
99TNA_Lab_Router_1,CW_FAMILY$C2800NM$,FHK0852F1DE
VC2040F8-7C9518000X,hp.5.7.5.6,Unknown
VC2040F8-7C9518000Y,hp.5.7.5.6,Unknown
97RBG-BR10.thyssenna.com,,FTX1220B2C7
Thyssen_MDF_3850.thyssenkrupp.com,CW_FAMILY$CAT3K_CAA$,FOC2120U0M5
97RBG-BR9.thyssenna.com,CW_FAMILY$C1140$,FTX1521E5YZ
Thyssen_2811_1.thyssenkrupp.com,CW_FAMILY$C2800NM$,FTX0946A4JY
